n,T,pr,Model,Activity,Scenario,Region,Label,Mask,Season,Year,
243,-0.04,2.97,cccma_cgcm3_1,CMIP3,A1B,West Africa,WAF,land,MAM,2085,
244,0.06,3.02,cccma_cgcm3_1,CMIP3,A1B,West Africa,WAF,land,SON,2085,
245,0.03,3.61,cccma_cgcm3_1,CMIP3,A1B,West Asia,WAS,land,ANN,2085,
246,0.08,3.22,cccma_cgcm3_1,CMIP3,A1B,West Asia,WAS,land,DJF,2085,
247,0.05,3.7,cccma_cgcm3_1,CMIP3,A1B,West Asia,WAS,land,JJA,2085,
248,-0.17,3.92,cccma_cgcm3_1,CMIP3,A1B,West Asia,WAS,land,MAM,2085,
249,0.15,3.6,cccma_cgcm3_1,CMIP3,A1B,West Asia,WAS,land,SON,2085,
250,0.16,2.97,cccma_cgcm3_1,CMIP3,A1B,West North America,WNA,land,ANN,2085,
251,0.2,3.32,cccma_cgcm3_1,CMIP3,A1B,West North America,WNA,land,DJF,2085,
252,0.07,3.17,cccma_cgcm3_1,CMIP3,A1B,West North America,WNA,land,JJA,2085,
253,0.15,2.61,cccma_cgcm3_1,CMIP3,A1B,West North America,WNA,land,MAM,2085,
254,0.21,2.78,cccma_cgcm3_1,CMIP3,A1B,West North America,WNA,land,SON,2085,
255,-0.07,2.61,cccma_cgcm3_1,CMIP3,A1B,West Coast South America,WSA,land,ANN,2085,
256,-0.12,2.67,cccma_cgcm3_1,CMIP3,A1B,West Coast South America,WSA,land,DJF,2085,
